strategy,nr_events,stream_config.spread,stream_config.offset,bytes,window.size,window.slide,window.offset,nr_windows,thr_mean,thr_median,ns_mean,ns_median,thr_std_dev,mem_total,reserve
slice,5000,1,1,0,5000,5000,0,32,12864429.336348105,12987249.347462531,390092.21831754415,384993.04684095865,679232.2351143488,0,5000
rc,5000,1,1,0,5000,5000,0,33,7898557.158109717,7927634.9388064705,633796.8860251534,630705.1319055005,262279.53125090175,160000,5000
legacy,5000,1,1,0,5000,5000,0,33,19518.088960389083,19442.420257008824,256266001.46666667,257170105.0,380.1937317624039,12311283435,5000
arc,5000,1,1,0,5000,5000,0,33,7918757.529244702,7945822.835953746,632247.8965616253,629263.6007304883,270553.1498345622,160000,5000
clone,5000,1,1,0,5000,5000,0,33,12603032.169211289,12701829.41707458,397836.4242723167,393644.0837912088,597122.2301225269,0,5000
slice,5000,1,1,0,5000,5000,0,33,12523399.811536113,12615822.290219627,400170.52421158424,396327.7211538461,543480.9646614938,0,5000
rc,5000,1,1,0,5000,5000,0,34,7751200.898259275,7750247.60812901,646126.8458279816,645140.7017973857,297090.2961609804,160000,5000
legacy,5000,1,1,0,5000,5000,0,34,18862.452736642826,18789.781702331456,265173754.86666667,266102081.0,371.7125974553075,12684352630,5000
arc,5000,1,1,0,5000,5000,0,34,7730629.459209937,7784895.880763329,647940.673298009,642270.5455827068,306340.02502912167,160000,5000
clone,5000,1,1,0,5000,5000,0,34,12224239.87037592,12346657.013437351,410051.19932425086,404968.123956044,555022.0618572227,0,5000
slice,5000,1,1,0,5000,5000,0,34,12134895.303389313,12240867.045008091,413047.1809336523,408467.80066666665,543374.3378282998,0,5000
rc,5000,1,1,0,5000,5000,0,35,7642025.503807015,7690274.055001649,655471.4836932514,650172.1065830721,302908.44877227605,160000,5000
legacy,5000,1,1,0,5000,5000,0,35,18353.149234092463,18501.877267613083,272715029.1666667,270245811.0,599.9361628986829,13057421825,5000
arc,5000,1,1,0,5000,5000,0,35,7613482.460389861,7669830.586243805,657811.1736743618,651904.8884672619,287968.6448706492,160000,5000
clone,5000,1,1,0,5000,5000,0,35,11969111.219199292,12070632.968179896,418872.2397503912,414228.5338888889,560698.8958089818,0,5000
slice,5000,1,1,0,5000,5000,0,35,11828970.896150276,11942389.198926423,423832.1364953092,418676.697,548803.0058539576,0,5000
rc,5000,1,1,0,5000,5000,0,36,7499317.833843942,7544758.059545873,667660.1119513592,662711.886328125,263258.3095305507,160000,5000
legacy,5000,1,1,0,5000,5000,0,36,17811.771289307642,17634.72963563044,280885822.0,283531430.5,456.353832969764,13430491020,5000
arc,5000,1,1,0,5000,5000,0,36,7543470.614190333,7563437.595361397,663980.9132697018,661075.0868181819,293442.0201639736,160000,5000
clone,5000,1,1,0,5000,5000,0,36,11633331.411459535,11747498.115933424,431156.17444984365,425622.5475,577284.5117638315,0,5000
slice,5000,1,1,0,5000,5000,0,36,11532044.19079293,11636777.460106574,434688.6241903926,429672.22091450216,525216.3542931252,0,5000
rc,5000,1,1,0,5000,5000,0,37,7421855.167699598,7409545.216691947,673919.0255919435,674805.9848484849,142976.7965424058,160000,5000
legacy,5000,1,1,0,5000,5000,0,37,17628.183921279484,17673.774178985404,283827390.1666667,282907589.5,463.8723260634488,13803560215,5000
arc,5000,1,1,0,5000,5000,0,37,7403833.921858334,7355035.938045703,675681.4976365312,679806.3336363636,175393.58867577338,160000,5000
clone,5000,1,1,0,5000,5000,0,37,11242816.802706705,11346155.645985596,445073.3936254183,440688.6485389611,315814.47188922093,0,5000
slice,5000,1,1,0,5000,5000,0,37,11123251.347880278,11143891.755291982,449743.6448523038,448680.57448890817,257562.56893004652,0,5000
rc,5000,1,1,0,5000,5000,0,38,7299778.936894075,7316743.475100738,686137.3688221278,683364.1295833334,285895.73548921954,160000,5000
legacy,5000,1,1,0,5000,5000,0,38,17056.66772005205,16903.320077019955,293297254.46666664,295799885.0,405.3086796753987,14176629410,5000
arc,5000,1,1,0,5000,5000,0,38,7312104.091169529,7311303.496464362,685155.3064829711,683872.9745614035,307725.8312393682,160000,5000
clone,5000,1,1,0,5000,5000,0,38,11128958.065214617,11230293.134772107,450794.4819103909,445224.4166666666,567505.0005668422,0,5000
slice,5000,1,1,0,5000,5000,0,38,11060065.384292211,11136537.942484764,453475.9477971004,448972.56728778465,544353.2549004406,0,5000
rc,5000,1,1,0,5000,5000,0,39,7159305.200595088,7166927.283613351,699025.7456755462,697649.094235589,209227.4657248916,160000,5000
legacy,5000,1,1,0,5000,5000,0,39,16566.406631978578,16421.359433889636,301995871.1333333,304481552.0,418.07535620037294,14549698605,5000
arc,5000,1,1,0,5000,5000,0,39,7157943.453230854,7184624.782447409,699100.9201892533,695931.2066022544,197981.74119892495,160000,5000
clone,5000,1,1,0,5000,5000,0,39,10894767.885554949,10974139.8781022,459997.42122667737,455616.5934782609,474651.8556851328,0,5000
slice,5000,1,1,0,5000,5000,0,39,10823553.39207281,10892455.488151906,463120.0109473201,459033.34756493504,488578.8986090737,0,5000
rc,5000,1,1,0,5000,5000,0,4,15277212.031877924,15009396.957252152,327602.3113049853,333124.6475877193,487173.5771313675,160000,5000
legacy,5000,1,1,0,5000,5000,0,4,176939.72073620168,179181.1596731145,28281157.505555555,27904720.916666664,4998.6809820859935,1492276780,5000
arc,5000,1,1,0,5000,5000,0,4,15244311.054434586,15000139.469038974,328251.92972731375,333330.414624183,440552.149725644,160000,5000
clone,5000,1,1,0,5000,5000,0,4,48304778.058316305,47184760.502237946,103867.69528333937,105966.42058823528,3112187.1727105067,0,5000
slice,5000,1,1,0,5000,5000,0,4,48941005.875508286,47556754.15197435,102607.087684231,105137.70433823529,3543394.1875886563,0,5000
rc,5000,1,1,0,5000,5000,0,40,7038779.044327222,7062912.194419964,710764.1066467214,707923.2874396136,165695.54743899405,160000,5000
legacy,5000,1,1,0,5000,5000,0,40,16272.228068883773,16307.78213690707,307418946.1333333,306602505.0,361.6346772526448,14922767800,5000
arc,5000,1,1,0,5000,5000,0,40,7054070.014432504,7082451.678420934,709328.287672616,705970.3915113872,184987.12185883382,160000,5000
clone,5000,1,1,0,5000,5000,0,40,10636980.67940227,10759551.054413673,472163.9416549296,464703.40638528136,611964.7133621501,0,5000
slice,5000,1,1,0,5000,5000,0,40,10520508.406887917,10586406.09232622,476443.5199187679,472303.87098255276,471916.8110109725,0,5000
rc,5000,1,1,0,5000,5000,0,41,6961670.645829641,6980801.386825146,718473.2297011866,716250.1512820513,129057.99674466137,160000,5000
legacy,5000,1,1,0,5000,5000,0,41,15771.105727470765,15606.839516162327,317202661.26666665,320372366.5,370.80174687360034,15295836995,5000
arc,5000,1,1,0,5000,5000,0,41,6988521.307219942,6958309.972678233,715861.4484886768,718565.2968944099,168789.91523308484,160000,5000
clone,5000,1,1,0,5000,5000,0,41,10357689.280668724,10444228.31745961,484390.6738939212,478733.330008227,532395.0321796989,0,5000
slice,5000,1,1,0,5000,5000,0,41,10260541.985790439,10367824.096625265,488480.0540491782,482261.2863636364,458048.15152244444,0,5000
rc,5000,1,1,0,5000,5000,0,42,6847860.831601116,6836945.728930082,730308.9501246535,731320.71973962,101804.0755681644,160000,5000
legacy,5000,1,1,0,5000,5000,0,42,15756.123377323574,15912.358725068323,317552608.3,314221339.5,416.3624499558658,15668906190,5000
arc,5000,1,1,0,5000,5000,0,42,6907154.484212083,6908319.467537809,724198.5613664548,723765.0380952382,143565.7992507971,160000,5000
clone,5000,1,1,0,5000,5000,0,42,10132570.508072088,10196661.003863825,495201.6841411242,490356.6270743146,530825.5718834085,0,5000
slice,5000,1,1,0,5000,5000,0,42,10089351.549799785,10178566.41861618,496859.9955165376,491228.61791666667,464823.327621136,0,5000
